PMID,Journal,Year,Animal,Disease,Type,Acupoints,Mechanism,Site
37147749,J Tradit Chin Med,2023,Mouse,Parkinson's disease (PD),MA,"GV20, GV16, GV14, GV8, GV4, GV3",Upregulated mitochondrial autophagy and improved mitochondrial function,GV4
36914042,Brain Res,2023,Rat,Depression in Parkinson's disease (DPD),MA,"GV20, GV29, LI4, LR3, GV4","Activating mTOR pathway, inhibiting autophagy, and repairing synapses",GV4
36866416,Anat Rec (Hoboken),2023,Rat,Spinal cord injury (SCI),EA,"GV14, GV4",Inhibiting glial scar generation (downregulating GFAP and vimentin),GV4
34636492,Anat Rec (Hoboken),2021,rat,Spinal cord injury,EA,"GV14, GV4",Inhibiting the Notch signaling pathway and regulating downstream protein expression,GV4
34164478,Ann Transl Med,2021,rat,Spinal cord injury,EA,"GV4, GV14",Suppressing the Notch signaling pathway via H19/EZH2 axis,GV4
33360522,J Stroke Cerebrovasc Dis,2021,rat,Cerebral infarction,EA,"GV26, GV20, GV14, GV9, GV4",EphB4/EphrinB2 mediated Src/PI3K pathway activated angiogenesis,GV4
32468009,Mol Med Rep,2020,rat,Spinal cord injury (SCI),EA,"GV14, GV4, EX-B2","MAPK, Wnt, and NF-κB signaling pathways modulation",GV4
32488847,J Mol Neurosci,2020,rat,Spinal cord injury,EA,"GV4, GV14",Inhibition of p66Shc-mediated oxidative stress,GV4
32399023,Neural Plast,2020,rat,Spinal cord injury,EA,"GV4, GV14",PI3K/AKT/mTOR signaling pathway modulation,GV4
32186098,J Tradit Chin Med,2019,rat,Spinal cord injury,EA,"GV14, GV4, GV9, GV5",Unknown,GV4
30603981,Neurochem Res,2019,rat,Spinal cord injury,EA,GV4,Oxidative stress reduction,GV4
29861775,Evid Based Complement Alternat Med,2018,rat,Spinal cord injury,EA,"EX-B2, GV4, GV14",Unknown,GV4
29625972,Acupunct Med,2018,rat,Osteopenia,EA,"GV4,GV6",Wnt/β-catenin and MAPK signaling pathway modulation,GV4
28663053,Neurosci Lett,2017,rat,Stroke,EA,"GV20,GV4,ST36","Inhibiting neurons' excessive autophagy (decreased LC3/Beclin1, elevated mTOR)",GV4
28627669,Mol Med Rep,2017,rat,Spinal cord injury,EA,"GV14,GV4",Enhancement of Wnt/β-catenin signaling,GV4
28392262,Life Sci,2017,rat,Spinal cord injury,EA,"GV14,GV4",Decreasing the expression levels of NR1 and NR2A subunits of NMDARs,GV4
28197199,Neural Regen Res,2016,rat,Spinal cord injury,EA,"GV14,GV4",Unknown,GV4
27597902,Neural Plast,2016,rat,Spinal cord injury,EA,"GV14,GV4",Upregulation of Neurotrophin-3 (NT-3) expression,GV4
24002710,Chin J Integr Med,2015,rat,Stroke,EA,"GV20,GV4,ST36","Energy metabolism enhancement (SDH, LDH, Na+-K+-ATPase modulation)",GV4
26692861,Neural Regen Res,2015,rat,Spinal cord injury,EA,"GV14,GV4,SP6,GB30,ST36,BL60",Inhibition of RhoA/Nogo-A expression and reduced apoptosis,GV4
26622351,Exp Ther Med,2015,rat,Osteoporosis,EA,"GV4, GV6, BL20, BL23",Regulation of OPG/RANKL and Wnt/β-catenin signaling pathways,GV4
25878587,Neural Regen Res,2015,rat,Spinal cord injury,EA,"GV14,GV4","Notch signaling pathway inhibition, neural stem cell proliferation promotion",GV4
24836602,Neuropeptides,2014,rat,Spinal cord injury,EA,"GV4,GV14,GV9,GV6","Neurotrophic factor modulation, GAP-43 & Synaptophysin increase",GV4
24649097,Biomed Rep,2014,rat,Peripheral nerve injury,EA,"GV4,LI10","nNOS expression reduction, motoneuron death protection",GV4
19051355,Am J Chin Med,2008,rat,Postmenopausal Osteoporosis,EA,"GB39, GV4","Promotion of IGF system (IGF-I, IGF-BP1)",GV4
41413394,Neurogastroenterol Motil,2025,Rat,Irritable bowel syndrome (IBS),EA,"ST25, BL25",PD-1/PD-L1 and NF-κB signaling inhibition,ST25
40823702,CNS Neurosci Ther,2025,Mouse,Inflammatory bowel disease (IBD) with comorbid depression,EA,"ST36, ST25, LR3",IL-4-JAK1-STAT6 pathway activation and microglial polarization,ST25
39617979,Neurogastroenterol Motil,2025,Rat,Intestinal motility disorders,MA,"ST25, ST37, LI11, BL25",Modulation of Interstitial Cells of Cajal (ICC) function,ST25
39959279,World J Diabetes,2025,Rat,diabetic peripheral neuropathy,EA,ST25,Activation of the SIRT1/PGC-1α axis,ST25
39973939,Front Microbiol,2025,Mouse,Functional Constipation (FC),EA,"ST25, ST37",Upregulation of miR-205-5p and modulation of tryptophan metabolism,ST25
40197199,Comb Chem High Throughput Screen,2025,Mouse,Ulcerative colitis (UC),EA,"ST25, ST37",Modulation of intestinal flora and Roseburia abundance,ST25
40380290,Chin Med,2025,Rat,type 2 diabetes mellitus (T2DM),EA,"ST25, ST37",TRPV1-CGRP-β cell circuit modulation,ST25
40444624,Comb Chem High Throughput Screen,2025,Rat,Diarrhea-predominant irritable bowel syndrome (IBS-D),EA,"ST37, ST25",ceRNA network modulation and mast cell inhibition,ST25
40763037,Am J Physiol Regul Integr Comp Physiol,2025,Mouse,Postoperative ileus (POI),EA,ST25,Sympathetic α2-adrenoceptor signaling inhibition,ST25
40837817,World J Psychiatry,2025,Mouse,Diarrhoeal Irritable Bowel Syndrome (IBS-D) accompanied by negative emotions,EA,"ST25, BL25",PVN CRF-MC CRF-R1 and MC/TRPV1 pathway inhibition,ST25
40894806,Diabetes Metab Syndr Obes,2025,Rat,Obesity (high-fat diet (HFD)-induced),EA,"ST40, ST25",Gut microbiota and acetic acid/5-HT modulation,ST25
40908949,J Inflamm Res,2025,Mouse,inflammatory bowel disease (IBD) accompanied by depressive symptoms,EA,"ST36, ST25, LR3",Oxidative stress-mediated NLRP3/ASC/Caspase-1 pathway inhibition,ST25
41041343,Front Immunol,2025,Rat,Diarrhea-predominant irritable bowel syndrome (IBS-D),EA,"ST36, ST25, LR3",Mast cell-derived exosomal miR-149-5p modulation,ST25
41047414,Chin Med,2025,Mouse,Inflammatory bowel disease (IBD),EA,"ST36, ST25",Piezo1-mediated mitochondrial homeostasis regulation,ST25
41207916,Adipocyte,2025,Mouse,Acute myocardial infarction (AMI),EA,ST25,BAT-BMP3b/Smad1/5 pathway activation,ST25
41345003,J Integr Med,2025,Rat,Diarrhea-predominant irritable bowel syndrome (IBS-D),EA,"ST36, ST25, LR3",Mast cell/miR-494-3p/adherens junction modulation,ST25
38601933,Front Microbiol,2024,Rat,Depressive-like behavior (chronic unpredictable mild stress),EA,"ST36, ST25",Gut microbiota and neurotransmitter regulation,ST25
37840428,Adv Biol (Weinh),2024,Mouse,Obesity,EA,ST25,Sirt3-dependent modulation of autophagy and energy metabolism,ST25
38103878,Brain Res,2024,Mouse,Cognitive impairment induced by long-term high-fat diet,EA,ST25,Microglial BDNF regulation and anti-inflammatory signaling,ST25
38299195,Diabetes Metab Syndr Obes,2024,Mouse,Inflammatory bowel disease (IBD) caused by high-fat diet (HFD)-induced obesity,EA,"BL25, ST25",Nrf2 signaling activation and ferroptosis inhibition,ST25
38450172,Front Microbiol,2024,Rat,Parkinson's disease (PD),EA,ST25,Gut-microbiome-brain axis restoration,ST25
38586088,Am J Transl Res,2024,Rat,IBS-D,EA,"ST25, ST37",MCs/Tryptase/PAR-2/MLCK pathway regulation,ST25
39031023,Neurogastroenterol Motil,2024,Rat,Chronic visceral pain in irritable bowel syndrome (IBS),EA,ST25,Modulation of gut microbiota and colonic metabolites,ST25
39380229,J Tradit Chin Med,2024,Rat,Irritable bowel syndrome (IBS),EA,"ST25, ST37",Downregulation of GFAP in satellite glial cells,ST25
39396501,Microb Physiol,2024,Mouse,"Post-infectious irritable bowel syndrome (PI-IBS), visceral hypersensitivity",EA,"ST36, ST25",Regulation of gut microbiota via GDNF signaling,ST25
38906326,J Adv Res,2024,Mouse,Obesity,EA,"ST25, ST36",Suppression of Osteoprotegerin (OPG) levels,ST25
36973529,Chin J Integr Med,2023,Mouse,Functional Constipation (FC),EA,"ST25, ST37",Activating enteric glial cell autophagy via PI3K/AKT/mTOR signaling inhibition,ST25
37292305,Heliyon,2023,Mouse,Alzheimer's disease (AD),EA,"ST36, ST25",Inhibition of NLRP3 inflammasome activation,ST25
36655864,Anat Rec (Hoboken),2023,Rat,Parkinson's disease constipation,EA,ST25,Parkin-induced mitochondrial autophagy modulation in ENS,ST25
36733445,Front Neurol,2023,rat,Parkinson's disease,EA,ST25,Enteric nervous system (ENS) adjustment and colonic motility regulation,ST25
37147750,J Tradit Chin Med,2023,Mouse,Irritable bowel syndrome (IBS),EA,"ST25, ST36",Promoting intestinal barrier functions and suppressing inflammatory cytokines,ST25
37435647,J Neurophysiol,2023,Rat,Irritable bowel syndrome (IBS),EA,"ST25, BL25, ST37, LI11",Regulation of the central CRH nervous system,ST25
37516430,Life Sci,2023,Mouse,Obesity,EA,"ST25, CV4, ST36, CV12",Regulation of microglial polarization in the arcuate nucleus,ST25
37651803,Biomed Pharmacother,2023,Mouse,HFD-induced obesity,EA,"CV12, ST25, CV4, ST36",Regulation of the PI3K/Pten/Thbs1 signaling pathway,ST25
37946482,J Tradit Chin Med,2023,Rat,Obese type 2 diabetes mellitus (T2DM),MA,"CV12, CV10, CV6, CV4, ST24, ST26, SP15, ST25/LI11, ST25, CV12, SP9, ST40",Regulation of FGF21 and related adipokines,ST25
36300612,Anat Rec (Hoboken),2022,rat,sepsis,EA,ST25,Adrenal sympathetic nerve activation and anti-inflammatory cytokine regulation,ST25
36116529,Life Sci,2022,mouse,Obesity,EA,"ST36, ST25, CV4, V12","Intestinal defensin promotion, dysbiotic cecal microbiota rescue, lipid absorption reduction",ST25
36133788,Evid Based Complement Alternat Med,2022,rat,constipation,EA,"ST25, BL25",Exosomal miR-34c-5p/SCF/c-Kit signaling pathway modulation,ST25
36161055,World J Gastroenterol,2022,rat,Ulcerative Colitis,EA,"ST25, CV6",Oxidative phosphorylation and immune-related pathways regulation,ST25
36105029,Am J Transl Res,2022,rat,IBS-D,MA,"ST25, BL25",P2X4 expression and spinal microglial inflammation control,ST25
36313328,Front Pharmacol,2022,rat,Obesity,EA,"CV12, ST25, ST36, SP6","Electroacupuncture reduces obesity by demethylating the TSC1 promoter, suppressing hypothalamic mTOR/p70S6K signaling, and restoring autophagy (Beclin-1, LC3, p62) to decrease food intake and fat accumulation",ST25
36337584,Evid Based Complement Alternat Med,2022,mouse,constipation,"EA, MA","ST25, GV20",5-HT4/5-HT7 receptors and c-Kit pathway modulation,ST25
36507334,Front Neurosci,2022,rat,Irritable bowel syndrome (IBS),EA,ST25,"Modulation of DRGs, spinal dorsal horn, and sympathetic ganglia",ST25
36105292,Front Physiol,2022,rat,IBS-D,EA,"ST25, ST36, LR3","Electroacupuncture downregulates submucosal enteric glial cell-derived S-nitrosoglutathione (GSNO), upregulating tight junction proteins ZO-1 and occludin to restore intestinal barrier integrity",ST25
36094925,PLoS One,2022,rat,irritable bowel syndrome with diarrhea (IBS-D),MA,"ST36, PC6, CV4, ST37, ST25, ST36",Energy metabolism and inflammation-related protein regulation,ST25
35959628,J Gastroenterol Hepatol,2022,rat,IBS-D,EA,"ST25, ST37",Occludin protein upregulation and intestinal microvascular dilation,ST25
35198032,Evid Based Complement Alternat Med,2022,rat,Irritable bowel syndrome (IBS),EA,"ST25, ST36, LR3",Inhibition of EGCs activity through BDNF/TrkB signaling pathway,ST25
34757591,Mol Neurobiol,2022,rat,Diabetes,EA,ST25,"Neural regulation of pancreatic intrinsic nervous system (PINS), modulating TRPV1, SP, CGRP, ChAT, NPY, CART, GLP-1",ST25
36083480,J Tradit Chin Med,2022,mouse,Irritable bowel syndrome (IBS),EA,"ST25, ST36",Gut microbiota modulation and CRF expression suppression,ST25
33551999,Front Endocrinol (Lausanne),2021,rat,Obesity,EA,ST25,SIRT-1 dependent PPARγ activation and WAT browning,ST25
34646336,Comput Math Methods Med,2021,rat,Obesity,EA,"ST25, CV4, ST36, SP6","Inhibiting production of leptin and prostaglandin E, boosting fat metabolism",ST25
34621325,Evid Based Complement Alternat Med,2021,rat,IBS,EA,"ST25, ST37",Reducing BDNF and TrkB expression in colon and dorsal root ganglia,ST25
34343334,J Neuropathol Exp Neurol,2021,mouse,Parkinson disease,EA,"GV24, ST25, ST37, LI11","Regulating intestinal barrier function, inhibiting intestinal inflammation, promoting intestinal barrier repair, reducing α-synuclein deposition",ST25
34295304,Front Endocrinol (Lausanne),2021,rat,Neuropathy,EA,ST25,Regulation of glycolipid-related GLO/AGEs/RAGE axis,ST25
34029955,Biomed Pharmacother,2021,mouse,Obesity,EA,"ST25, CV4, ST36, SP6",M2 macrophage polarization and inflammatory response modulation,ST25
32516787,Neuroimmunomodulation,2020,mouse,Obesity,EA,"CV4, ST25, ST36, SP6",Regulation of the enteric nervous system,ST25
31918565,Am J Chin Med,2020,rat,Visceral Hypersensitivity,EA,"ST25, ST36",IL-18 and gut microbial dysbiosis regulation,ST25
32180699,Front Neurosci,2020,rat,Obesity,EA,ST25,"Sympathetic nervous system (SNS) activity promotion, SAMs and SlC6a2 inhibition, immunologic balance regulation",ST25
32617101,Evid Based Complement Alternat Med,2020,rat,Irritable bowel syndrome (IBS),EA,"ST25, ST37",Inhibition of astrocyte activation in MT and ACC,ST25
32791039,Neuron,2020,rat,Inflammation,EA,"ST36, ST25",Driving NPY-expressing sympathetic pathways,ST25
33014041,Gastroenterol Res Pract,2020,rat,chronic visceral pain,EA,"ST25, ST37",Regulation of P2X7 receptor expression,ST25
31889778,Saudi J Biol Sci,2019,rat,Parkinson's disease,MA,"CV12, ST25, CV4",DMT1/Fpn1 ratio balancing and inflammation reduction,ST25
31737064,Gastroenterol Res Pract,2019,rat,Irritable bowel syndrome,EA,"ST25, ST36, SP6, LR3",CRF/CRF-R1 and tight junction (ZO-1) regulation,ST25
30854008,Evid Based Complement Alternat Med,2019,rat,Irritable bowel syndrome,EA,ST25,NMDA receptor expression modulation,ST25
29720377,Acupunct Med,2018,rat,Visceral hyperalgesia,EA,"ST25, CV12",Colonic EC cell number and 5-HT concentration reduction,ST25
29853949,Evid Based Complement Alternat Med,2018,rat,Obesity,EA,"ST25, CV12, SP6, ST36",Hypothalamic Tsc1 promoter demethylation and mTORC1 signaling pathway inhibition,ST25
30284469,Am J Chin Med,2018,mouse,Obesity,EA,"ST25, CV4, ST36, SP6",Gut flora dysbiosis regulation,ST25
30420896,Evid Based Complement Alternat Med,2018,rat,Visceral Hypersensitivity,EA,"ST25, ST37",PAR2 inactivation and TPSP/PAR2/SP/CGRP signaling axis downregulation,ST25
27852563,Acupunct Med,2017,rat,Diarrhoea,EA,"ST25,BL25",Excitation of sympathetic nerves and regulation of 5-HT contents,ST25
26855542,World J Gastroenterol,2016,rat,Jejunal motility disorders,EA,ST25,Sympathetic pathway mediation and TRPV1 receptor participation,ST25
26997963,Evid Based Complement Alternat Med,2016,rat,Gastric motility,EA,ST25,Unknown,ST25
29949711,J Tradit Chin Med,2016,rat,Functional diarrhea,EA,"ST25,BL25",Jejunum c-kit protein and c-kit mRNA expression increase,ST25
27978539,PLoS One,2016,mouse,Gastrointestinal disorders,MA,"ST25,ST37",M2/3 receptors for heterotopic acupoints; β1/2 receptors for homotopic acupoints in gastrointestinal motility,ST25
26459908,Neurogastroenterol Motil,2015,rat,Gastrointestinal motility disorders,MA,"LI11,ST37,BL25,ST25",Activation of M3 receptors and somatic afferent C-fibers to increase colonic motility,ST25
26419631,BMC Complement Altern Med,2015,rat,Irritable bowel syndrome (IBS),EA,"ST25,ST36,LR3","Modulation of 5-HT, CGRP, and NPY in the brain-gut axis",ST25
26036927,Acupunct Med,2015,mouse,Hyperglycaemia,MA,"CV6,CV12,ST25,LR14,GB20,GB21,BL10,BL11,BL13,BL14,BL19,BL23,BL25",Mitigation of stress-induced hyperglycemia and enhanced hepatic innate immunity,ST25
25979864,Acupunct Med,2015,rat,Pancreatitis,EA,ST25,NF-κB inhibition and pro-inflammatory cytokine reduction,ST25
25968478,Neurochem Res,2015,mouse,Irritable bowel syndrome (IBS),EA,"LI11,ST25,BL25,BL35,ST36,ST37","C-fos expression downregulation, brain-gut axis modulation",ST25
25963634,BMC Complement Altern Med,2015,rat,Obesity,EA,"ST25,ST36",Hypothalamic LKB1-AMPK-ACC signaling activation,ST25
25809868,Purinergic Signal,2015,rat,Visceral pain,EA,"ST25,ST37",P2X3 receptor expression downregulation,ST25
24876883,Evid Based Complement Alternat Med,2014,rat,Acute pancreatitis,EA,"ST25,ST36","VIP inhibition, CCK expression promotion, pro/anti-inflammatory mediator regulation, improved gastrointestinal motility",ST25
24841896,Med Sci Monit Basic Res,2014,rat,Type-2 diabetes mellitus,MA,"CV12,ST25,CV6,BL18,BL20,BL23",Blood glucose reduction,ST25
25206727,Neural Regen Res,2013,rat,Chronic visceral hypersensitivity,EA,"ST37, ST25",P2X2 and P2X3 purinergic receptor expression reduction,ST25
25206515,Neural Regen Res,2013,rat,Chronic visceral hypersensitivity,EA,"ST37, ST25",P2X4 receptor expression reduction,ST25
19891022,World J Gastroenterol,2009,rat,Irritable bowel syndrome,EA,"ST25, ST37","Decreased mucosal mast cells, down-regulation of hypothalamic CRH, and colonic SP/SPR",ST25
19387829,Neurochem Res,2009,rat,Irritable bowel syndrome,EA,"ST25, ST37",Reduction of 5-HT concentration and increase of 5-HT4R concentration,ST25
17999187,Dig Dis Sci,2008,rat,Irritable bowel syndrome,EA,ST25,Inhibition of mast cell activation/proliferation and regulation of substance P (SP) and vasoactive intestinal polypeptide (VIP) secretion,ST25
17465507,World J Gastroenterol,2007,rat,Gastric mucosal damage,EA,"ST2, ST25, ST36","Regulation of gastric motility, gastric mucosal blood flow, and brain-gut peptides (motilin, somatostatin)",ST25
17211698,Dig Dis Sci,2007,rat,Ulcerative Colitis,EA,"ST25, CV6","Promotion of neutrophil apoptosis and down-regulation of IL-1beta, IL-6, TNF-alpha",ST25
41333194,Nat Sci Sleep,2025,Rat,Insomnia (PCPA-induced),MA,"BL15, BL20, BL23, LI11, PC6, SP6, GV14, GV6, GV20, CV17, CV12, CV4",5-HT/AC/cAMP pathway activation,CV12
41239500,Diabetol Metab Syndr,2025,Rat,"Obesity, insulin resistance (HFD-induced)",EA,"CV12, CV4, ST36, ST40",SIRT1-mediated anti-inflammatory pathway promotion,CV12
41069927,J Diabetes Res,2025,Rat,Diabetic Kidney Disease (DKD),MA,"CV12, LR3, SP9, SP10, SP8, SP6, SP40, LI11, LI4, ST36",Suppression of EMT via DPP4/SDF-1 axis,CV12
41030888,Neuropsychiatr Dis Treat,2025,Rat,Autism Spectrum Disorder (ASD),MA,"EX-HN01, BL13, BL23, CV17, CV12, CV4, HT7, BL20, LR14",SFRP5/β-catenin/GSK-3β pathway regulation,CV12
40294829,Brain Res Bull,2025,Mouse,Depression with gastric dysfunction,EA,"ST36, CV12",Activation of BNST GABAergic neurons,CV12
40205499,Diabetol Metab Syndr,2025,Rat,type 2 diabetes mellitus (T2DM),EA,"EX-B3, CV12, ST36, ST40",Modulation of the gut-brain axis via the PI3K/Akt pathway,CV12
40201729,Mediators Inflamm,2025,Rat,Diminished Ovarian Reserve (DOR),EA,"BL23, CV4, CV12",Regulation of macrophage polarization and immunoinflammatory responses,CV12
40093956,J Inflamm Res,2025,Rat,Gastric Ulcer (GU),EA,"ST36, CV12, ,BL21, ST42, ST40",Activation of the focal adhesion signaling pathway,CV12
39694773,J Integr Med,2025,Mouse,Gastric motility disorder (GMD),EA,"CV12, BL21",Modulation of the spinal GABAergic-sympathetic pathway,CV12
38591200,Comb Chem High Throughput Screen,2025,Rat,Functional Dyspepsia (FD),EA,"CV12, ST36",CRF signaling pathway modulation,CV12
39071725,Heliyon,2024,Rat,Diabetic Kidney Disease (DKD),MA,"LI1, LI4, SP10, ST36, ST40, SP9, SP8, SP6, LR3, CV12",Inhibition of ferroptosis and epithelial-mesenchymal transition,CV12
38746630,J Alzheimers Dis Rep,2024,Mouse,Alzheimer's disease (AD),MA,"ST36, CV12",Acupoint microcirculation enhancement,CV12
38715602,Front Immunol,2024,Mouse,Sepsis-related intestinal injury (CLP model),EA,"PC6, ST36, CV12, LR3",Polyamine-related M2-macrophage polarization,CV12
37516430,Life Sci,2023,Mouse,Obesity,EA,"ST25, CV4, ST36, CV12",Regulation of microglial polarization in the arcuate nucleus,CV12
36816326,Heliyon,2023,Rat,CVD,MA,"CV17, CV12, CV6, ST36, SP10",Th17/Treg balance regulation,CV12
37143500,Front Vet Sci,2023,Rat,Paclitaxel-induced allodynia (neuropathic pain),EA,"CV12, ST36",Upregulation of nerve regeneration related proteins and metabolome changes,CV12
37651803,Biomed Pharmacother,2023,Mouse,HFD-induced obesity,EA,"CV12, ST25, CV4, ST36",Regulation of the PI3K/Pten/Thbs1 signaling pathway,CV12
37723951,Curr Alzheimer Res,2023,Mouse,Neurological disorder,MA,"CV6, CV12, CV17, ST36, SP10",Inhibition of the RhoA/ROCK pathway,CV12
37946482,J Tradit Chin Med,2023,Rat,Obese type 2 diabetes mellitus (T2DM),MA,"CV12, CV10, CV6, CV4, ST24, ST26, SP15, ST25/LI11, ST25, CV12, SP9, ST40",Regulation of FGF21 and related adipokines,CV12
36313328,Front Pharmacol,2022,rat,Obesity,EA,"CV12, ST25, ST36, SP6","Electroacupuncture reduces obesity by demethylating the TSC1 promoter, suppressing hypothalamic mTOR/p70S6K signaling, and restoring autophagy (Beclin-1, LC3, p62) to decrease food intake and fat accumulation",CV12
36212128,Front Genet,2022,rat,diminished ovarian reserve,MA,"CV4, CV12, BL23","miRNAs expression modulation (e.g., rno-miR-92b-3p) and MAPK/Ras signaling pathways",CV12
35936053,Diabetes Metab Syndr Obes,2022,mouse,type 2 diabetes mellitus,EA,"ST36, CV12",Intestinal flora and gut barrier regulation,CV12
34621320,Evid Based Complement Alternat Med,2021,rat,functional dyspepsia,EA,"CV12, BL21",Regulation of insular functional connectivity,CV12
34349636,Front Aging Neurosci,2021,rat,dementia,MA,"CV17, CV12, CV6, ST36, SP10",Regulation of peripheral immune cell spectrum and inflammatory environment,CV12
33880028,Neuropsychiatr Dis Treat,2021,rat,Depression,EA,"GV20, GV29, CV12, CV4",tPA/BDNF/TrkB pathway activation,CV12
33628315,Evid Based Complement Alternat Med,2021,rat,gastric ulcer,EA,"BL21, CV12",TLR4/MyD88/NF-κB signaling pathway inhibition,CV12
33505601,World J Stem Cells,2020,mouse,Alzheimer's disease,MA,"CV17, CV12, CV6, SP10, ST36",Neural regeneration and synaptogenesis promotion,CV12
