mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Downregulation of P2Y12 receptor and inhibition of microglia activation/IL-1β expression in mPFC,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Peripheral adenosine receptor regulation (A1, A2a, A2b, A3)",eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Excitation of sympathetic nerves and regulation of 5-HT contents,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Decreased spinal COX-2 mRNA expression, microglia modulation",COX-2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Jejunum c-kit protein and c-kit mRNA expression increase,c-kit,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Inhibition of local prostaglandin E2 (PGE2) secretion,prostaglandin,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Mitigation of stress-induced hyperglycemia and enhanced hepatic innate immunity,innate immun,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of M3 receptors and somatic afferent C-fibers to increase colonic motility,somatic afferent,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"C-fos expression downregulation, brain-gut axis modulation",brain-gut,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
"AC-EA alleviates PTSD-like behaviors by restoring gut microbiota balance, enriching beneficial *Ligilactobacillus*, and downregulating hepatic TLR4 expression to suppress neuroinflammatory signaling via the gut-brain axis",TLR,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Hippocampal structural restoration,AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
PINK1/Parkin-mediated mitochondrial autophagy,PINK1,Other,Other,Other,Other,Other,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
PINK1/Parkin signaling pathway inhibition,PINK1,Other,Other,Other,Other,Other,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Promotion of neurogenesis and tissue regeneration,neurogenesis,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Modulation of the HuR/KLF9 axis,,Other,Other,Other,Other,Other,Other,Other,Other
Inhibition of the NF-κB pathway,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of the NLRP3-IL-18 signaling pathway,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Upregulated mitochondrial autophagy and improved mitochondrial function,autophagy,Other,Other,Other,Other,Other,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
"Activating mTOR pathway, inhibiting autophagy, and repairing synapses",autophagy,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Inhibiting glial scar generation (downregulating GFAP and vimentin),GFAP,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibiting the Notch signaling pathway and regulating downstream protein expression,Notch signaling,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Suppressing the Notch signaling pathway via H19/EZH2 axis,Notch signaling,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
EphB4/EphrinB2 mediated Src/PI3K pathway activated angiogenesis,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"MAPK, Wnt, and NF-κB signaling pathways modulation",Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibition of p66Shc-mediated oxidative stress,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
PI3K/AKT/mTOR signaling pathway modulation,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Oxidative stress reduction,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Wnt/β-catenin and MAPK signaling pathway modulation,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Inhibiting neurons' excessive autophagy (decreased LC3/Beclin1, elevated mTOR)",LC3,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Enhancement of Wnt/β-catenin signaling,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Decreasing the expression levels of NR1 and NR2A subunits of NMDARs,MDA,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Upregulation of Neurotrophin-3 (NT-3) expression,NT-3,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Energy metabolism enhancement (SDH, LDH, Na+-K+-ATPase modulation)",energy metabolism,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Inhibition of RhoA/Nogo-A expression and reduced apoptosis,apoptosis,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Regulation of OPG/RANKL and Wnt/β-catenin signaling pathways,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Notch signaling pathway inhibition, neural stem cell proliferation promotion",neural stem,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Neurotrophic factor modulation, GAP-43 & Synaptophysin increase",neurotrophic,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"nNOS expression reduction, motoneuron death protection",motoneuron,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Promotion of IGF system (IGF-I, IGF-BP1)",IGF,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
IL-4-JAK1-STAT6 pathway activation and microglial polarization,JAK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of the SIRT1/PGC-1α axis,SIRT1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Upregulation of miR-205-5p and modulation of tryptophan metabolism,tryptophan,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of intestinal flora and Roseburia abundance,ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
TRPV1-CGRP-β cell circuit modulation,CGRP,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
ceRNA network modulation and mast cell inhibition,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Sympathetic α2-adrenoceptor signaling inhibition,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Gut microbiota and acetic acid/5-HT modulation,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Oxidative stress-mediated NLRP3/ASC/Caspase-1 pathway inhibition,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Mast cell-derived exosomal miR-149-5p modulation,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Piezo1-mediated mitochondrial homeostasis regulation,mitochondrial homeostasis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
BAT-BMP3b/Smad1/5 pathway activation,Smad,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Mast cell/miR-494-3p/adherens junction modulation,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Gut microbiota and neurotransmitter regulation,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Sirt3-dependent modulation of autophagy and energy metabolism,autophagy,Other,Other,Other,Other,Other,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Microglial BDNF regulation and anti-inflammatory signaling,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Gut-microbiome-brain axis restoration,microbiome,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
MCs/Tryptase/PAR-2/MLCK pathway regulation,tryptase,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of gut microbiota and colonic metabolites,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Downregulation of GFAP in satellite glial cells,GFAP,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Regulation of gut microbiota via GDNF signaling,GDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Suppression of Osteoprotegerin (OPG) levels,OPG,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Activating enteric glial cell autophagy via PI3K/AKT/mTOR signaling inhibition,enteric,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Inhibition of NLRP3 inflammasome activation,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Parkin-induced mitochondrial autophagy modulation in ENS,Parkin,Other,Other,Other,Other,Other,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Enteric nervous system (ENS) adjustment and colonic motility regulation,enteric,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Promoting intestinal barrier functions and suppressing inflammatory cytokines,cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of microglial polarization in the arcuate nucleus,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of the PI3K/Pten/Thbs1 signaling pathway,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Regulation of FGF21 and related adipokines,FGF21,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Adrenal sympathetic nerve activation and anti-inflammatory cytokine regulation,cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Intestinal defensin promotion, dysbiotic cecal microbiota rescue, lipid absorption reduction",cecal microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Oxidative phosphorylation and immune-related pathways regulation,immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Electroacupuncture reduces obesity by demethylating the TSC1 promoter, suppressing hypothalamic mTOR/p70S6K signaling, and restoring autophagy (Beclin-1, LC3, p62) to decrease food intake and fat accumulation",hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
5-HT4/5-HT7 receptors and c-Kit pathway modulation,c-kit,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
"Modulation of DRGs, spinal dorsal horn, and sympathetic ganglia",sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Electroacupuncture downregulates submucosal enteric glial cell-derived S-nitrosoglutathione (GSNO), upregulating tight junction proteins ZO-1 and occludin to restore intestinal barrier integrity",ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Energy metabolism and inflammation-related protein regulation,energy metabolism,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Occludin protein upregulation and intestinal microvascular dilation,occludin,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Inhibition of EGCs activity through BDNF/TrkB signaling pathway,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Neural regulation of pancreatic intrinsic nervous system (PINS), modulating TRPV1, SP, CGRP, ChAT, NPY, CART, GLP-1",CGRP,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Gut microbiota modulation and CRF expression suppression,CRF,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
SIRT-1 dependent PPARγ activation and WAT browning,PPAR,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Inhibiting production of leptin and prostaglandin E, boosting fat metabolism",prostaglandin,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Reducing BDNF and TrkB expression in colon and dorsal root ganglia,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Regulating intestinal barrier function, inhibiting intestinal inflammation, promoting intestinal barrier repair, reducing α-synuclein deposition",intestinal barrier,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Regulation of glycolipid-related GLO/AGEs/RAGE axis,glycolipid,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
M2 macrophage polarization and inflammatory response modulation,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of the enteric nervous system,enteric,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
IL-18 and gut microbial dysbiosis regulation,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Sympathetic nervous system (SNS) activity promotion, SAMs and SlC6a2 inhibition, immunologic balance regulation",sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Inhibition of astrocyte activation in MT and ACC,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Driving NPY-expressing sympathetic pathways,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Regulation of P2X7 receptor expression,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
DMT1/Fpn1 ratio balancing and inflammation reduction,DMT1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
CRF/CRF-R1 and tight junction (ZO-1) regulation,CRF,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
NMDA receptor expression modulation,MDA,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Colonic EC cell number and 5-HT concentration reduction,5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Hypothalamic Tsc1 promoter demethylation and mTORC1 signaling pathway inhibition,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Gut flora dysbiosis regulation,gut flora,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
PAR2 inactivation and TPSP/PAR2/SP/CGRP signaling axis downregulation,CGRP,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Sympathetic pathway mediation and TRPV1 receptor participation,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
M2/3 receptors for heterotopic acupoints; β1/2 receptors for homotopic acupoints in gastrointestinal motility,intestinal motility,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
"Modulation of 5-HT, CGRP, and NPY in the brain-gut axis",CGRP,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
NF-κB inhibition and pro-inflammatory cytokine reduction,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Hypothalamic LKB1-AMPK-ACC signaling activation,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
P2X3 receptor expression downregulation,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
"VIP inhibition, CCK expression promotion, pro/anti-inflammatory mediator regulation, improved gastrointestinal motility",anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Blood glucose reduction,blood glucose,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
P2X2 and P2X3 purinergic receptor expression reduction,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
P2X4 receptor expression reduction,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
"Decreased mucosal mast cells, down-regulation of hypothalamic CRH, and colonic SP/SPR",T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Reduction of 5-HT concentration and increase of 5-HT4R concentration,5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
